#	down
AQZ88929.1	K06306
AQZ89795.1	K09786
AQZ89843.1	K03294
AQZ89869.1	K06418
AQZ89869.1	K06419
AQZ89869.1	K06420
AQZ89922.1	K00666
AQZ89922.1	K01897
AQZ89925.1	K01342
AQZ89925.1	K13277
AQZ89962.2	K06299
AQZ89962.2	K06304
AQZ89963.1	K06303
AQZ89964.1	K06302
AQZ89965.1	K06301
AQZ89966.1	K06300
AQZ89967.1	K06299
AQZ89969.1	K06330
AQZ89972.1	K13274
AQZ89973.1	K01953
AQZ89983.1	K00433
AQZ89984.1	K00860
AQZ89985.1	K00958
AQZ89986.1	K00390
AQZ89987.1	K05979
AQZ89988.1	K08097
AQZ89990.1	K18983
AQZ89991.1	K08221
AQZ89994.1	K00297
AQZ89994.1	K00547
AQZ90003.1	K01400
AQZ90003.1	K08777
AQZ90012.1	K00145
AQZ90013.1	K00620
AQZ90014.1	K00930
AQZ90015.1	K00821
AQZ90017.1	K01955
AQZ90029.1	K02031
AQZ90029.1	K15583
AQZ90029.1	K16202
AQZ90030.1	K02032
AQZ90030.1	K10823
AQZ90031.1	K02035
AQZ90032.1	K02033
AQZ90033.1	K02034
AQZ90065.1	K06344
AQZ90066.1	K06343
AQZ90067.1	K06342
AQZ90068.1	K06341
AQZ90069.1	K06340
AQZ93035.1	K03657
AQZ90078.1	K01760
AQZ90093.1	K01809
AQZ93037.1	K02257
AQZ93038.1	K01812
AQZ90124.1	K00073
AQZ90125.1	K08322
AQZ90128.1	K03535
AQZ90128.1	K08191
AQZ90131.1	K07090
AQZ90137.1	K01447
AQZ90177.1	K01447
AQZ90190.1	K15582
AQZ90190.1	K16201
AQZ90191.1	K02031
AQZ90191.1	K15583
AQZ90191.1	K16202
AQZ93039.1	K16199
AQZ90192.1	K01297
AQZ90193.1	K19802
AQZ90194.1	K20742
AQZ90213.1	K13275
AQZ90229.1	K15973
AQZ90230.1	K03429
AQZ90235.1	K10979
AQZ90263.1	K03697
AQZ90263.1	K04086
AQZ90319.1	K06437
AQZ90330.1	K02003
AQZ90331.1	K02004
AQZ90363.1	K01400
AQZ90363.1	K01401
AQZ90363.1	K19351
AQZ90373.1	K07175
AQZ90381.1	K02275
AQZ90382.1	K02274
AQZ90383.1	K02276
AQZ90384.1	K02277
AQZ90385.1	K02862
AQZ90401.1	K06314
AQZ90412.1	K03588
AQZ90421.1	K13276
AQZ93056.1	K06383
AQZ90422.1	K03091
AQZ90453.1	K01537
AQZ90468.1	K00949
AQZ90561.1	K06410
AQZ90562.1	K06411
AQZ90583.1	K06416
AQZ90587.1	K02028
AQZ90588.1	K06328
AQZ90606.1	K13615
AQZ90610.1	K17734
AQZ90625.1	K01448
AQZ90627.1	K06413
AQZ90645.1	K01805
AQZ90649.1	K01775
AQZ90664.1	K06311
AQZ90665.1	K06293
AQZ90665.1	K06312
AQZ90680.1	K06196
AQZ90684.1	K06335
AQZ90685.1	K06433
AQZ93065.1	K06432
AQZ90689.1	K06431
AQZ90690.1	K06434
AQZ90711.1	K01640
AQZ90713.1	K01961
AQZ90714.1	K00666
AQZ90715.1	K00248
AQZ90730.1	K00681
AQZ90736.1	K00931
AQZ90752.1	K00483
AQZ90758.1	K01569
AQZ90827.1	K18115
AQZ90828.1	K04564
AQZ90835.1	K04565
AQZ90868.1	K01843
AQZ90869.1	K21935
AQZ90870.1	K01438
AQZ90870.1	K01439
AQZ90871.1	K01035
AQZ90872.1	K01034
AQZ90876.1	K06322
AQZ90877.1	K06321
AQZ90878.1	K06319
AQZ90879.1	K06320
AQZ90881.1	K19421
AQZ90893.1	K06418
AQZ90893.1	K06419
AQZ90893.1	K06420
AQZ90902.2	K00526
AQZ90902.2	K00526
AQZ90924.1	K00558
AQZ90927.1	K00560
AQZ90927.1	K00943
AQZ90933.1	K07462
AQZ90995.1	K07727
AQZ93074.1	K19421
AQZ91116.1	K01625
AQZ91129.1	K06335
AQZ91129.1	K13993
AQZ91157.1	K03888
AQZ91158.1	K03887
AQZ91159.1	K03886
AQZ91180.1	K06398
AQZ91203.1	K01783
AQZ91216.1	K06374
AQZ91217.1	K06373
AQZ91218.1	K07258
AQZ91223.1	K00794
AQZ91238.1	K06407
AQZ93085.1	K06403
AQZ91242.1	K03091
AQZ91243.1	K06379
AQZ91244.1	K06378
AQZ91245.1	K07258
AQZ91251.1	K06384
AQZ91269.1	K02346
AQZ91269.1	K03502
AQZ91292.1	K02028
AQZ91294.1	K02030
AQZ91303.1	K00634
AQZ91307.1	K01720
AQZ91308.1	K01647
AQZ91309.1	K18244
AQZ91310.1	K00074
lcl|CP020102.1_cds_2528	K00626
AQZ91316.1	K06399
AQZ91329.1	K06397
AQZ91330.1	K06396
AQZ91331.1	K06395
AQZ91332.1	K06394
AQZ91333.1	K06393
AQZ91335.1	K06391
AQZ91336.1	K06390
AQZ91344.1	K07001
AQZ91355.1	K06336
AQZ93089.1	K13280
AQZ91356.1	K19433
AQZ91397.1	K06417
AQZ91408.1	K13300
AQZ91415.1	K03584
AQZ91417.1	K03595
AQZ91423.1	K06438
AQZ91426.1	K07403
AQZ91429.1	K03324
AQZ91440.1	K06385
AQZ91441.1	K06012
AQZ91448.1	K02239
AQZ91459.1	K01447
AQZ91464.1	K03091
AQZ91471.1	K09190
AQZ91530.1	K03091
AQZ91580.1	K01233
AQZ91596.1	K02771
AQZ91596.1	K02796
AQZ91597.1	K02746
AQZ91597.1	K02795
AQZ91597.1	K11196
AQZ91598.1	K02793
AQZ91598.1	K02794
AQZ91598.1	K11195
AQZ91599.1	K02793
AQZ91599.1	K02794
AQZ91599.1	K11194
AQZ91634.1	K09972
AQZ91634.1	K10041
AQZ91635.1	K09969
AQZ91635.1	K10039
AQZ91636.1	K10040
AQZ91637.1	K10040
AQZ91670.1	K00010
AQZ91674.1	K06345
AQZ91688.1	K06402
AQZ91689.1	K06401
AQZ91697.1	K06380
AQZ91703.1	K06417
AQZ91713.1	K04076
AQZ91730.1	K06298
AQZ91733.1	K01994
AQZ93103.1	K01209
AQZ91759.1	K06426
AQZ91760.1	K02647
AQZ91767.1	K17235
AQZ91769.1	K00096
AQZ91770.1	K03077
AQZ91773.1	K06113
AQZ91792.1	K00134
AQZ91800.1	K07636
AQZ91820.1	K01436
AQZ91820.1	K21613
AQZ91835.1	K01755
AQZ91836.1	K01940
AQZ91848.1	K06418
AQZ91848.1	K06419
AQZ91848.1	K06420
AQZ91863.1	K04767
AQZ91925.1	K02004
AQZ91925.1	K16918
AQZ91940.1	K01610
AQZ91943.1	K02051
AQZ91944.1	K02049
AQZ91944.1	K10831
AQZ91944.1	K15555
AQZ91945.1	K02050
AQZ91955.1	K00425
AQZ91956.1	K00426
AQZ91958.1	K11709
AQZ91958.1	K19976
AQZ91959.1	K11705
AQZ91959.1	K11708
AQZ91959.1	K19976
AQZ91960.1	K02074
AQZ91960.1	K09820
AQZ91960.1	K11710
AQZ91960.1	K19973
AQZ91961.1	K11707
AQZ91971.1	K00963
AQZ91972.1	K00012
AQZ91974.1	K06338
AQZ91976.1	K06337
AQZ91977.1	K06338
AQZ91978.1	K06331
AQZ91980.1	K00688
AQZ91981.1	K00703
AQZ91982.1	K00975
AQZ91983.1	K00975
AQZ91984.1	K00700
AQZ91987.1	K07192
AQZ91998.1	K00456
AQZ92011.1	K00686
AQZ92014.1	K01182
AQZ92014.1	K01187
AQZ92024.1	K09779
AQZ92033.1	K06348
AQZ93119.1	K00216
AQZ92108.1	K01095
AQZ92113.1	K21472
AQZ92119.1	K01466
AQZ92126.1	K00087
AQZ92126.1	K03518
AQZ92136.1	K10119
AQZ92138.1	K10117
AQZ92139.1	K10708
AQZ92163.1	K00248
AQZ92164.1	K00632
AQZ92165.1	K07516
AQZ92167.1	K00318
AQZ92206.1	K01569
AQZ92217.1	K06427
AQZ92220.1	K02020
AQZ92221.1	K02018
AQZ92231.1	K01534
AQZ92241.1	K00059
AQZ93130.1	K05845
AQZ92263.1	K05846
AQZ92277.1	K02100
AQZ92277.1	K06609
AQZ92277.1	K08139
AQZ92281.1	K03293
AQZ92308.1	K19425
AQZ92314.1	K00903
AQZ92315.1	K19420
AQZ92316.1	K19417
AQZ92338.1	K15771
AQZ92400.1	K03797
AQZ93137.1	K16699
AQZ92428.1	K16698
AQZ92429.1	K16706
AQZ92453.1	K01227
AQZ92455.1	K06288
AQZ92455.1	K06291
AQZ92455.1	K06310
AQZ92463.1	K07282
AQZ92467.1	K02529
AQZ92470.1	K10441
AQZ92471.1	K10440
AQZ92479.1	K03893
AQZ92481.1	K06325
AQZ92482.1	K06330
AQZ92520.1	K06283
AQZ92532.1	K06386
AQZ92540.1	K01428
AQZ92541.1	K01429
AQZ92550.1	K07114
AQZ92553.1	K06381
AQZ92581.1	K11686
AQZ92597.1	K06131
AQZ92603.1	K00374
AQZ92604.1	K00373
AQZ92605.1	K00371
AQZ92629.1	K21464
AQZ92634.1	K01868
AQZ92640.1	K06314
AQZ92655.1	K00294
AQZ92656.1	K00260
AQZ92658.1	K01790
AQZ92659.1	K00067
AQZ92660.1	K01710
AQZ92661.1	K00973
AQZ92663.1	K07257
AQZ92664.1	K01654
AQZ92664.1	K15898
AQZ92665.1	K16704
AQZ92666.1	K13010
AQZ92670.1	K06305
AQZ92685.1	K03488
AQZ92686.1	K01361
AQZ92686.1	K08652
AQZ92686.1	K14647
AQZ92700.1	K14393
AQZ92715.1	K02761
AQZ92723.1	K19701
AQZ92733.1	K01222
AQZ92734.1	K02759
AQZ92735.1	K02761
AQZ92736.1	K02760
AQZ92774.1	K00019
AQZ92775.1	K01029
AQZ92776.1	K01028
AQZ92782.1	K03300
AQZ92782.1	K11639
AQZ93150.1	K01223
AQZ92808.1	K06113
AQZ92811.1	K01745
AQZ92812.1	K01712
AQZ92813.1	K01468
AQZ92814.1	K01479
AQZ92815.1	K02205
AQZ92815.1	K16235
AQZ92815.1	K16236
AQZ92830.1	K01442
AQZ92843.1	K01624
AQZ92843.1	K03339
AQZ92845.1	K06605
AQZ92846.1	K00010
AQZ92847.1	K06610
AQZ92848.1	K03335
AQZ92849.1	K03336
AQZ92850.1	K03338
AQZ92874.1	K07155
AQZ92882.1	K11476
AQZ92883.1	K00851
AQZ92884.1	K03299
AQZ92885.1	K00033
AQZ92905.1	K00121
AQZ92905.1	K00148
AQZ92934.1	K06329
AQZ92967.1	K08369
AQZ92971.1	K01142
#	up
AQZ88950.1	K06284
AQZ88970.1	K03328
AQZ88989.1	K02619
AQZ89016.1	K02863
AQZ89072.1	K03321
AQZ89089.1	K18672
AQZ89092.1	K00820
AQZ89203.1	K08369
AQZ89213.1	K00016
AQZ89214.1	K03303
AQZ89236.1	K00363
AQZ89237.1	K00362
AQZ89241.1	K09007
AQZ89449.1	K07150
AQZ89546.1	K01588
AQZ89547.1	K01589
AQZ89548.1	K01756
AQZ89549.1	K01923
AQZ89550.1	K01952
AQZ89551.1	K01952
AQZ89552.1	K01952
AQZ89553.1	K00764
AQZ89555.1	K11175
AQZ89556.1	K00602
AQZ89567.1	K01972
AQZ93019.1	K19005
AQZ89785.1	K02954
AQZ89827.1	K00105
AQZ89827.1	K00111
AQZ89849.1	K03088
AQZ93024.1	K11923
AQZ89859.1	K16052
AQZ89932.1	K03523
AQZ89957.1	K16899
AQZ90050.1	K06886
AQZ90057.1	K03707
AQZ90058.1	K10810
AQZ93034.1	K03154
AQZ90102.1	K22278
AQZ90181.1	K07220
AQZ90182.1	K03294
AQZ90186.1	K04771
AQZ90198.1	K05916
AQZ90198.1	K15765
AQZ90219.1	K02483
AQZ90238.1	K03093
AQZ90260.1	K15973
AQZ90265.1	K06920
AQZ90266.1	K01737
AQZ90267.1	K10026
AQZ90292.1	K00020
AQZ90309.1	K03839
AQZ93050.1	K03569
AQZ90341.1	K06284
AQZ90352.1	K00161
AQZ90353.1	K00162
AQZ90354.1	K00627
AQZ90413.1	K02563
AQZ90414.1	K00075
AQZ90439.1	K01956
AQZ90440.1	K01955
AQZ90506.1	K02387
AQZ90507.1	K02388
AQZ93059.1	K02408
AQZ90508.1	K02409
AQZ90509.1	K02410
AQZ90510.1	K02411
AQZ90511.1	K02412
AQZ90512.1	K02413
AQZ90514.1	K02414
AQZ90515.1	K02389
AQZ90518.1	K02415
AQZ90519.1	K02416
AQZ90521.1	K03413
AQZ90614.1	K11814
AQZ91112.1	K03458
AQZ91112.1	K16169
AQZ91112.1	K16170
AQZ91113.1	K03816
AQZ91136.1	K03700
AQZ91137.1	K05366
AQZ91146.1	K01918
AQZ91147.1	K00606
AQZ91199.1	K07098
AQZ91254.1	K03315
AQZ91284.1	K00033
AQZ91349.1	K00282
AQZ91350.1	K00605
AQZ91398.1	K03526
AQZ91573.1	K01776
AQZ91594.1	K05520
AQZ91604.1	K03088
AQZ91608.1	K14338
AQZ91609.1	K22106
AQZ91626.1	K08303
AQZ91627.1	K00588
AQZ91628.1	K07082
AQZ91643.1	K00566
AQZ91644.1	K04487
AQZ93100.1	K17472
AQZ91646.1	K22132
AQZ91677.1	K00767
AQZ91678.1	K00278
AQZ91679.1	K04487
AQZ91692.1	K03571
AQZ91693.1	K03570
AQZ91694.1	K03569
AQZ91695.1	K03630
AQZ91696.1	K06287
AQZ91781.1	K05339
AQZ91782.1	K05338
AQZ91812.1	K02337
AQZ91851.1	K03311
AQZ91873.1	K03466
AQZ91908.1	K00833
AQZ91908.1	K19563
AQZ91909.1	K01906
AQZ91967.1	K02551
AQZ91968.1	K02552
AQZ92023.1	K19955
AQZ92086.1	K03523
AQZ92095.1	K00364
AQZ93121.1	K13628
AQZ92271.1	K01689
AQZ92272.1	K15633
AQZ92273.1	K01803
AQZ92274.1	K00927
AQZ92275.1	K00134
AQZ92276.1	K05311
AQZ92357.1	K00384
AQZ92401.1	K09812
AQZ92410.1	K06603
AQZ92420.1	K02241
AQZ92425.1	K01271
AQZ92476.1	K01575
AQZ92477.1	K01652
AQZ92503.1	K19420
AQZ92508.1	K21064
AQZ92509.1	K22103
AQZ92530.1	K19302
AQZ92680.1	K00868
AQZ92680.1	K00941
AQZ92688.1	K19285
AQZ92689.1	K05837
AQZ92708.1	K06518
AQZ92724.1	K00951
AQZ92724.1	K07816
AQZ92727.1	K03367
AQZ92728.1	K03739
AQZ92729.1	K14188
AQZ92730.1	K03740
AQZ92750.1	K16012
AQZ92751.1	K16013
AQZ92753.1	K00425
AQZ92778.1	K00563
