Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,P5_109,P5_152,P8_139,P8_229,P8_241,P8_250,P8_72,P9_191,P9_2,P9_31,P9_32,P9_35,P9_87,PS92,pcl1606,sbw25,xl272
nuoH,nuoH,NADH-quinone oxidoreductase subunit NuoH,17,17,1.0,1,16643,,,,1008,1008,1008.0,AEKEPN_20915,HMDFDK_25175,DGIGOC_07260,OELDID_24270,NDFCFG_10390,NFOGGK_11815,DILMCD_14905,CJMOAC_11995,GGGPIC_17155,KLDNLM_19580,KAGCPN_18630,NDMAAC_18625,CELEIN_18205,FNPKGJ_18075,OFJEOJ_11755,OGPOLJ_19035,MOKLEP_03340
minD,minD,septum site-determining protein MinD,17,17,1.0,1,16616,,,,798,816,814.9411764705883,AEKEPN_08815,HMDFDK_22640,DGIGOC_09160,OELDID_22370,NDFCFG_20720,NFOGGK_09915,DILMCD_26620,CJMOAC_09550,GGGPIC_19505,KLDNLM_10485,KAGCPN_21690,NDMAAC_21695,CELEIN_09010,FNPKGJ_21960,OFJEOJ_08945,OGPOLJ_21830,MOKLEP_05450
group_14797,,hypothetical protein;Phosphatase;Phosphonoacetaldehyde hydrolase,17,17,1.0,1,16613,,,,300,624,580.6875,AEKEPN_09880,HMDFDK_24765,DGIGOC_27775,OELDID_03755,NDFCFG_09405,NFOGGK_19960,DILMCD_13375,CJMOAC_27685,GGGPIC_08725,KLDNLM_12235,KAGCPN_10630,NDMAAC_10625,CELEIN_19810,FNPKGJ_08245,OFJEOJ_20260,OGPOLJ_07915,16_refound_69161
arcB,arcB,ornithine carbamoyltransferase,17,17,1.0,1,16612,,,,1011,1011,1011.0,AEKEPN_25035,HMDFDK_21700,DGIGOC_25020,OELDID_06510,NDFCFG_06530,NFOGGK_22705,DILMCD_10565,CJMOAC_08180,GGGPIC_22025,KLDNLM_23170,KAGCPN_07420,NDMAAC_07415,CELEIN_22555,FNPKGJ_24695,OFJEOJ_07660,OGPOLJ_24435,MOKLEP_02755
lpxK,lpxK,tetraacyldisaccharide 4'-kinase,17,17,1.0,1,16610,,,,1011,1011,1011.0,AEKEPN_23930,HMDFDK_07360,DGIGOC_26180,OELDID_05350,NDFCFG_23035,NFOGGK_21555,DILMCD_11810,CJMOAC_26640,GGGPIC_16880,KLDNLM_21970,KAGCPN_21010,NDMAAC_21020,CELEIN_21405,FNPKGJ_17810,OFJEOJ_21495,OGPOLJ_18770,MOKLEP_05160
fbp,fbp,class 1 fructose-bisphosphatase,17,17,1.0,1,16608,,,,1011,1011,1011.0,AEKEPN_01650,HMDFDK_13820,DGIGOC_16135,OELDID_15395,NDFCFG_28105,NFOGGK_02940,DILMCD_01745,CJMOAC_22390,GGGPIC_02665,KLDNLM_03435,KAGCPN_02945,NDMAAC_02940,CELEIN_01770,FNPKGJ_02065,OFJEOJ_28330,OGPOLJ_01825,MOKLEP_09065
aroG1,aroG1;,3-deoxy-7-phosphoheptulonate synthase,17,17,1.0,1,16607,,,,1092,1140,1094.8235294117646,AEKEPN_23150,HMDFDK_23250,DGIGOC_26965,OELDID_04565,NDFCFG_22275,NFOGGK_20770,DILMCD_12575,CJMOAC_10110,GGGPIC_09210,KLDNLM_21160,KAGCPN_09585,NDMAAC_09580,CELEIN_20625,FNPKGJ_09220,OFJEOJ_09500,OGPOLJ_08570,MOKLEP_03560
nagZ,nagZ,beta-N-acetylhexosaminidase,17,17,1.0,1,16600,,,,1014,1014,1014.0,AEKEPN_09790,HMDFDK_24670,DGIGOC_27675,OELDID_03855,NDFCFG_09310,NFOGGK_20060,DILMCD_13275,CJMOAC_27595,GGGPIC_08645,KLDNLM_11325,KAGCPN_10535,NDMAAC_10530,CELEIN_19910,FNPKGJ_08160,OFJEOJ_20350,OGPOLJ_07830,MOKLEP_18380
yciB~~~ispZ,yciB;ispZ;,septation protein A;septation protein IspZ,17,17,1.0,1,16599,,,,600,708,622.0588235294117,AEKEPN_07750,HMDFDK_08200,DGIGOC_10280,OELDID_21250,NDFCFG_21720,NFOGGK_08795,DILMCD_28700,CJMOAC_29295,GGGPIC_21975,KLDNLM_09335,KAGCPN_22615,NDMAAC_22620,CELEIN_07870,FNPKGJ_24640,OFJEOJ_22540,OGPOLJ_24380,MOKLEP_17155
group_14789,,Translation initiation factor 2;translation initiation factor 2,17,17,1.0,1,16597,,,,414,426,414.85714285714283,AEKEPN_07740,1_refound_8005,DGIGOC_10290,OELDID_21240,NDFCFG_21730,NFOGGK_08785,DILMCD_28690,CJMOAC_29285,8_refound_36900,KLDNLM_09325,KAGCPN_22625,NDMAAC_22630,CELEIN_07860,FNPKGJ_24650,OFJEOJ_22550,OGPOLJ_24390,16_refound_69157
dusB,dusB,tRNA dihydrouridine synthase DusB,17,17,1.0,1,16594,,,,1014,1014,1014.0,AEKEPN_03115,HMDFDK_12515,DGIGOC_14770,OELDID_16760,NDFCFG_26815,NFOGGK_04305,DILMCD_00400,CJMOAC_23785,GGGPIC_03955,KLDNLM_04835,KAGCPN_04435,NDMAAC_04430,CELEIN_03175,FNPKGJ_03365,OFJEOJ_27025,OGPOLJ_03125,MOKLEP_06890
group_14786,,RING-type E3 ubiquitin transferase,17,17,1.0,1,16593,,,,7017,7017,7017.0,0_refound_2414,1_refound_6527,2_refound_10784,3_refound_14861,4_refound_18891,5_refound_23138,6_refound_27300,7_refound_31271,8_refound_35396,9_refound_39588,10_refound_43739,11_refound_47974,12_refound_52263,FNPKGJ_12865,14_refound_60686,15_refound_64828,16_refound_68111
group_14778,,sigma-54-dependent Fis family transcriptional regulator,17,17,1.0,1,16585,,,,1377,1407,1399.9411764705883,AEKEPN_07935,HMDFDK_08025,DGIGOC_10015,OELDID_21515,NDFCFG_21530,NFOGGK_09060,DILMCD_28980,CJMOAC_29505,GGGPIC_19845,KLDNLM_09595,KAGCPN_08940,NDMAAC_08935,CELEIN_08140,FNPKGJ_22315,OFJEOJ_22250,OGPOLJ_22185,MOKLEP_04695
group_14777,tatA,twin-arginine translocase TatA/TatE family subunit,17,17,1.0,1,16584,,,,273,288,281.625,AEKEPN_01835,HMDFDK_13690,DGIGOC_15995,OELDID_15535,NDFCFG_27965,NFOGGK_03080,DILMCD_01605,CJMOAC_22535,GGGPIC_02820,KLDNLM_03595,KAGCPN_03110,NDMAAC_03105,CELEIN_01915,FNPKGJ_02210,OFJEOJ_28185,OGPOLJ_01970,16_refound_69151
dsrH,dsrH,sulfurtransferase complex subunit TusB,17,17,1.0,1,16582,,,,279,303,293.47058823529414,AEKEPN_20745,HMDFDK_25345,DGIGOC_07085,OELDID_24445,NDFCFG_10570,NFOGGK_11990,DILMCD_15085,CJMOAC_12165,GGGPIC_16990,KLDNLM_19410,KAGCPN_18455,NDMAAC_18450,CELEIN_17985,FNPKGJ_17910,OFJEOJ_11925,OGPOLJ_18870,MOKLEP_18255
pyrB,pyrB,aspartate carbamoyltransferase catalytic subunit,17,17,1.0,1,16574,,,,1017,1017,1017.0,AEKEPN_29625,HMDFDK_17190,DGIGOC_20060,OELDID_11470,NDFCFG_02270,NFOGGK_27665,DILMCD_05635,CJMOAC_02770,GGGPIC_26445,KLDNLM_28070,KAGCPN_27900,NDMAAC_27900,CELEIN_27700,FNPKGJ_29160,OFJEOJ_01875,OGPOLJ_28910,MOKLEP_11975
group_14766,folK,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,17,17,1.0,1,16570,,,,519,546,520.5882352941177,AEKEPN_28680,HMDFDK_18000,DGIGOC_20925,OELDID_10605,NDFCFG_03110,NFOGGK_26800,DILMCD_06480,CJMOAC_03695,GGGPIC_25540,KLDNLM_27200,KAGCPN_27005,NDMAAC_27005,CELEIN_26835,FNPKGJ_28295,OFJEOJ_03135,OGPOLJ_28055,MOKLEP_12890
group_14763,,SAM-dependent methyltransferase,17,17,1.0,1,16567,,,,636,699,639.7058823529412,AEKEPN_00955,HMDFDK_14375,DGIGOC_16855,OELDID_14675,NDFCFG_28750,NFOGGK_02220,DILMCD_02480,CJMOAC_21540,GGGPIC_02120,KLDNLM_02790,KAGCPN_02340,NDMAAC_02340,CELEIN_01100,FNPKGJ_01215,OFJEOJ_28980,OGPOLJ_01205,MOKLEP_12190
group_14761,,methyltransferase,17,17,1.0,1,16565,,,,1218,1314,1224.0,AEKEPN_06770,HMDFDK_09370,DGIGOC_11145,OELDID_20385,NDFCFG_07365,NFOGGK_07930,DILMCD_25125,CJMOAC_17740,GGGPIC_07910,KLDNLM_08155,KAGCPN_07970,NDMAAC_07965,CELEIN_06855,FNPKGJ_07410,OFJEOJ_23545,OGPOLJ_07045,16_refound_69144
group_14757,,Transposase,17,17,1.0,1,16561,,,,1149,1149,1149.0,0_refound_2372,1_refound_6485,2_refound_10735,3_refound_14812,4_refound_18848,5_refound_23089,6_refound_27238,7_refound_31223,8_refound_35342,9_refound_39548,10_refound_43686,11_refound_47921,12_refound_52212,FNPKGJ_06845,14_refound_60639,15_refound_64808,16_refound_68090
msrP,msrP,protein-methionine-sulfoxide reductase catalytic subunit MsrP,17,17,1.0,1,16555,,,,1017,1017,1017.0,AEKEPN_26845,HMDFDK_19705,DGIGOC_22790,OELDID_08740,NDFCFG_04895,NFOGGK_24935,DILMCD_08375,CJMOAC_05680,GGGPIC_23635,KLDNLM_25325,KAGCPN_24980,NDMAAC_24990,CELEIN_24895,FNPKGJ_26405,OFJEOJ_05055,OGPOLJ_26110,16_refound_66955
ilvC,ilvC,ketol-acid reductoisomerase,17,17,1.0,1,16552,,,,1017,1017,1017.0,AEKEPN_26855,HMDFDK_19695,DGIGOC_22780,OELDID_08750,NDFCFG_04885,NFOGGK_24945,DILMCD_08365,CJMOAC_05670,GGGPIC_23645,KLDNLM_25335,KAGCPN_24990,NDMAAC_25000,CELEIN_24905,FNPKGJ_26415,OFJEOJ_05045,OGPOLJ_26120,MOKLEP_06780
apaH,apaH,symmetrical bis(5'-nucleosyl)-tetraphosphatase,17,17,1.0,1,16551,,,,828,885,875.8235294117648,AEKEPN_28650,HMDFDK_18030,DGIGOC_20955,OELDID_10575,NDFCFG_03140,NFOGGK_26770,DILMCD_06510,CJMOAC_03725,GGGPIC_25510,KLDNLM_27170,KAGCPN_26975,NDMAAC_26975,CELEIN_26805,FNPKGJ_28265,OFJEOJ_03165,OGPOLJ_28025,MOKLEP_12920
group_14749,,Phenylalanine--tRNA ligase alpha subunit,17,17,1.0,1,16550,,,,1017,1017,1017.0,AEKEPN_10520,HMDFDK_05360,DGIGOC_28425,OELDID_03105,NDFCFG_19405,NFOGGK_19310,DILMCD_28015,CJMOAC_28770,GGGPIC_18480,KLDNLM_11450,KAGCPN_19065,NDMAAC_19075,CELEIN_10530,FNPKGJ_20780,OFJEOJ_19575,OGPOLJ_20675,MOKLEP_03080
group_14743,,DNA recombination protein RmuC,17,17,1.0,1,16544,,,,1467,1503,1500.8823529411766,AEKEPN_08635,HMDFDK_22465,DGIGOC_09365,OELDID_22165,NDFCFG_20880,NFOGGK_09710,DILMCD_26425,CJMOAC_09380,GGGPIC_20005,KLDNLM_10190,KAGCPN_21890,NDMAAC_21895,CELEIN_08820,FNPKGJ_22470,OFJEOJ_08770,OGPOLJ_22340,MOKLEP_05905
group_14740,,peroxiredoxin,17,17,1.0,1,16541,,,,468,483,469.875,AEKEPN_24235,HMDFDK_22250,DGIGOC_25890,OELDID_05640,NDFCFG_23305,NFOGGK_21835,DILMCD_11515,CJMOAC_09170,GGGPIC_16935,KLDNLM_22365,KAGCPN_22135,NDMAAC_22140,CELEIN_21690,FNPKGJ_17855,OFJEOJ_08565,OGPOLJ_18815,16_refound_69135
phrB,phrB,deoxyribodipyrimidine photo-lyase,17,17,1.0,1,16537,,,,1431,1467,1464.8823529411766,AEKEPN_26580,HMDFDK_19915,DGIGOC_23100,OELDID_08430,NDFCFG_05130,NFOGGK_24625,DILMCD_08695,CJMOAC_06215,GGGPIC_04675,KLDNLM_25075,KAGCPN_24615,NDMAAC_24625,CELEIN_24610,FNPKGJ_04140,OFJEOJ_05595,OGPOLJ_03820,MOKLEP_00695
iscX,iscX,Fe-S cluster assembly protein IscX,17,17,1.0,1,16534,,,,201,237,205.23529411764707,AEKEPN_05165,HMDFDK_20745,DGIGOC_23845,OELDID_07685,NDFCFG_24980,NFOGGK_23885,DILMCD_09395,CJMOAC_07040,GGGPIC_22995,KLDNLM_06835,KAGCPN_06050,NDMAAC_06040,CELEIN_23955,FNPKGJ_25555,OFJEOJ_06510,OGPOLJ_25295,MOKLEP_16605
group_14730,fliG,flagellar motor switch protein FliG,17,17,1.0,1,16528,,,,1020,1020,1020.0,AEKEPN_07950,HMDFDK_08010,DGIGOC_10000,OELDID_21530,NDFCFG_21515,NFOGGK_09075,DILMCD_28995,CJMOAC_29520,GGGPIC_19830,KLDNLM_09610,KAGCPN_08955,NDMAAC_08950,CELEIN_08155,FNPKGJ_22300,OFJEOJ_22235,OGPOLJ_22170,MOKLEP_04930
group_14729,,GGDEF domain-containing protein,17,17,1.0,1,16527,,,,1023,1023,1023.0,0_refound_3069,1_refound_7157,2_refound_11457,3_refound_15532,4_refound_19519,5_refound_23804,6_refound_27973,7_refound_31969,8_refound_36046,9_refound_40221,10_refound_44382,11_refound_48622,12_refound_52951,13_refound_57046,14_refound_61155,15_refound_65367,MOKLEP_15280
group_14721,,Transmembrane protein,17,17,1.0,1,16519,,,,324,438,430.875,AEKEPN_09735,HMDFDK_24620,DGIGOC_27625,OELDID_03905,NDFCFG_09260,NFOGGK_20110,DILMCD_13225,CJMOAC_27525,GGGPIC_08595,KLDNLM_11275,KAGCPN_10485,NDMAAC_10480,CELEIN_19960,FNPKGJ_08110,OFJEOJ_20410,OGPOLJ_07780,16_refound_69128
group_14718,,ISPpu10 transposase,17,17,1.0,1,16516,,,,690,690,690.0,0_refound_2319,1_refound_6437,2_refound_10682,3_refound_14757,4_refound_18802,5_refound_23034,6_refound_27179,7_refound_31176,8_refound_35289,9_refound_39493,10_refound_43634,11_refound_47867,CELEIN_22580,13_refound_56455,14_refound_60589,15_refound_64777,16_refound_68064
group_14713,,hypothetical protein;AMP-binding protein,17,17,1.0,1,16511,,,,336,1668,1572.857142857143,AEKEPN_24115,HMDFDK_07540,DGIGOC_26005,OELDID_05525,NDFCFG_23200,NFOGGK_21720,DILMCD_11625,CJMOAC_30045,GGGPIC_09775,KLDNLM_22255,10_refound_45181,11_refound_49421,CELEIN_21580,FNPKGJ_09905,OFJEOJ_21685,OGPOLJ_09260,16_refound_69126
group_14711,,LysR family transcriptional regulator,17,17,1.0,1,16509,,,,897,924,899.4545454545455,0_refound_3756,HMDFDK_11100,DGIGOC_13280,OELDID_18250,4_refound_20335,NFOGGK_05795,DILMCD_23045,CJMOAC_19870,GGGPIC_19165,9_refound_40984,10_refound_45179,11_refound_49419,CELEIN_04710,FNPKGJ_21645,OFJEOJ_25550,OGPOLJ_21515,16_refound_69123
group_14709,eutC,ethanolamine ammonia-lyase subunit EutC,17,17,1.0,1,16507,,,,819,837,833.8235294117648,AEKEPN_27905,HMDFDK_18745,DGIGOC_21750,OELDID_09780,NDFCFG_03875,NFOGGK_25975,DILMCD_07275,CJMOAC_04545,GGGPIC_24755,KLDNLM_26340,KAGCPN_26015,NDMAAC_26025,CELEIN_26030,FNPKGJ_27535,OFJEOJ_03940,OGPOLJ_27290,MOKLEP_17595
rsfS,rsfS,ribosome silencing factor,17,17,1.0,1,16504,,,,360,495,478.5882352941176,AEKEPN_27800,HMDFDK_18840,DGIGOC_21840,OELDID_09690,NDFCFG_03975,NFOGGK_25885,DILMCD_07395,CJMOAC_04645,GGGPIC_24655,KLDNLM_26250,KAGCPN_25925,NDMAAC_25935,CELEIN_25915,FNPKGJ_27440,OFJEOJ_04030,OGPOLJ_27195,MOKLEP_08155
group_14696,,Ribbon-helix-helix domain-containing protein;aryl-sulfate sulfotransferase,17,17,1.0,1,16493,,,,336,354,342.42857142857144,AEKEPN_25170,HMDFDK_21565,DGIGOC_24885,OELDID_06645,NDFCFG_06395,NFOGGK_22840,DILMCD_10430,7_refound_32706,GGGPIC_22275,KLDNLM_23305,KAGCPN_23075,NDMAAC_23080,CELEIN_22700,FNPKGJ_24835,14_refound_61899,OGPOLJ_24575,16_refound_69119
fusA,fusA,elongation factor G,17,17,1.0,1,16492,,,,2103,2148,2145.1875,AEKEPN_28335,HMDFDK_18345,DGIGOC_21275,OELDID_10255,NDFCFG_03455,NFOGGK_26450,DILMCD_06825,CJMOAC_04070,GGGPIC_25230,KLDNLM_26850,KAGCPN_26660,NDMAAC_26660,CELEIN_26485,FNPKGJ_27960,14_refound_61898,OGPOLJ_27720,MOKLEP_13225
group_14695,,ABC transporter ATP-binding protein;hypothetical protein,17,17,1.0,1,16491,,,,234,312,243.88235294117646,AEKEPN_09770,HMDFDK_24650,DGIGOC_27655,OELDID_03875,NDFCFG_09290,NFOGGK_20080,DILMCD_13255,CJMOAC_27575,GGGPIC_08625,KLDNLM_11305,KAGCPN_10515,NDMAAC_10510,CELEIN_19930,FNPKGJ_08140,OFJEOJ_20370,OGPOLJ_07810,MOKLEP_18355
group_14693,lipA,lipoyl synthase,17,17,1.0,1,16489,,,,1026,1026,1026.0,AEKEPN_27755,HMDFDK_18885,DGIGOC_21885,OELDID_09645,NDFCFG_04020,NFOGGK_25840,DILMCD_07440,CJMOAC_04690,GGGPIC_24610,KLDNLM_26205,KAGCPN_25880,NDMAAC_25890,CELEIN_25870,FNPKGJ_27395,OFJEOJ_04075,OGPOLJ_27150,16_refound_66976
group_14691,,iron ABC transporter substrate-binding protein,17,17,1.0,1,16487,,,,1026,1026,1026.0,AEKEPN_02660,HMDFDK_12945,DGIGOC_15225,OELDID_16305,NDFCFG_27250,NFOGGK_03850,DILMCD_00825,CJMOAC_23300,GGGPIC_03525,KLDNLM_04365,10_refound_41349,11_refound_45576,CELEIN_02710,FNPKGJ_02940,OFJEOJ_27470,OGPOLJ_02700,16_refound_66470
group_14690,,fused response regulator/phosphatase,17,17,1.0,1,16486,,,,1185,1368,1229.2941176470588,AEKEPN_09890,HMDFDK_24775,DGIGOC_27790,OELDID_03740,NDFCFG_09420,NFOGGK_19945,DILMCD_13390,CJMOAC_27700,GGGPIC_08735,KLDNLM_12250,KAGCPN_10645,NDMAAC_10640,CELEIN_19795,FNPKGJ_08260,OFJEOJ_20245,OGPOLJ_07930,MOKLEP_16745
ftsX,ftsX,permease-like cell division protein FtsX,17,17,1.0,1,16485,,,,1026,1026,1026.0,AEKEPN_29730,HMDFDK_17085,DGIGOC_19955,OELDID_11575,NDFCFG_02170,NFOGGK_27770,DILMCD_05530,CJMOAC_02660,GGGPIC_26545,KLDNLM_28175,KAGCPN_28005,NDMAAC_28005,CELEIN_27810,FNPKGJ_29260,OFJEOJ_01765,OGPOLJ_29010,MOKLEP_11855
group_14689,,hypothetical protein;Fe-S oxidoreductase;zinc/iron-chelating domain-containing protein,17,17,1.0,1,16484,,,,198,372,347.625,AEKEPN_30760,HMDFDK_16215,DGIGOC_19020,OELDID_12510,NDFCFG_01335,NFOGGK_00055,DILMCD_04595,CJMOAC_01705,GGGPIC_00050,KLDNLM_00050,KAGCPN_00050,NDMAAC_00050,CELEIN_28760,FNPKGJ_30210,OFJEOJ_00800,OGPOLJ_29965,16_refound_69114
group_14688,,sterol desaturase family protein,17,17,1.0,1,16483,,,,1134,1167,1150.5,0_refound_3752,1_refound_7967,DGIGOC_15335,OELDID_16195,4_refound_20331,NFOGGK_03740,DILMCD_00950,7_refound_32704,8_refound_36869,KLDNLM_04260,10_refound_45175,11_refound_49415,CELEIN_02585,13_refound_57782,14_refound_61896,15_refound_66103,16_refound_69113
group_14685,,N-acetylmuramate/N-acetylglucosamine kinase,17,17,1.0,1,16480,,,,1026,1026,1026.0,AEKEPN_28620,HMDFDK_18060,DGIGOC_20985,OELDID_10545,NDFCFG_03170,NFOGGK_26740,DILMCD_06540,CJMOAC_03755,GGGPIC_25480,KLDNLM_27140,KAGCPN_26945,NDMAAC_26945,CELEIN_26775,FNPKGJ_28235,OFJEOJ_03195,OGPOLJ_27995,MOKLEP_12950
tsaD,tsaD,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD,17,17,1.0,1,16477,,,,1026,1026,1026.0,AEKEPN_28695,HMDFDK_17985,DGIGOC_20910,OELDID_10620,NDFCFG_03095,NFOGGK_26815,DILMCD_06465,CJMOAC_03680,GGGPIC_25555,KLDNLM_27215,KAGCPN_27020,NDMAAC_27020,CELEIN_26850,FNPKGJ_28310,OFJEOJ_03120,OGPOLJ_28070,MOKLEP_12875
