Gene,Non-unique Gene name,Annotation,P5_109,P5_152,P8_139,P8_229,P8_241,P8_250,P8_72,P9_191,P9_2,P9_31,P9_32,P9_35,P9_87,PS92,pcl1606,sbw25,xl272
group_14841,,hypothetical protein,0_refound_3800_stop,1_refound_8029,DGIGOC_17715,OELDID_13815,4_refound_20385,NFOGGK_01360,DILMCD_03400,CJMOAC_00225,GGGPIC_01345,9_refound_41023_stop,KAGCPN_01185,NDMAAC_01180,CELEIN_00230,FNPKGJ_00450,14_refound_61942,OGPOLJ_00445,16_refound_69180
group_14838,,TerC/Alx family metal homeostasis membrane protein,0_refound_2801,1_refound_6898,2_refound_11191_stop,3_refound_15269_stop,4_refound_19249_stop,5_refound_23542_stop,6_refound_27714_stop,7_refound_31706,8_refound_35792_stop,9_refound_39951,10_refound_44117,11_refound_48358,12_refound_52683,13_refound_56787_stop,14_refound_60877,15_refound_65106_stop,MOKLEP_02765
group_14837,,EamA family transporter,AEKEPN_23555,HMDFDK_22895,DGIGOC_26605,OELDID_04925,NDFCFG_22665,NFOGGK_21130,DILMCD_12225,CJMOAC_09810,GGGPIC_19255,KLDNLM_21525,KAGCPN_09235,NDMAAC_09230,CELEIN_20995,FNPKGJ_21700,OFJEOJ_09175,OGPOLJ_21570,16_refound_69176
group_14833,,cytochrome oxidase biogenesis protein Surf1facilitates heme A insertion,AEKEPN_00275,HMDFDK_15205,DGIGOC_17575,OELDID_13955,NDFCFG_00290,NFOGGK_01500,DILMCD_03260,CJMOAC_00365,GGGPIC_01210,KLDNLM_00665,KAGCPN_01425,NDMAAC_01420,CELEIN_00370,FNPKGJ_00320,OFJEOJ_29905,OGPOLJ_00315,MOKLEP_10265
rlmL~~~rlmKL,rlmL;rlmKL,Ribosomal RNA large subunit methyltransferase K/L;bifunctional 23S rRNA (guanine(2069)-N(7))-methyltransferase RlmK/23S rRNA (guanine(2445)-N(2))-methyltransferase RlmL,AEKEPN_09465,HMDFDK_24280,DGIGOC_08650,OELDID_22880,NDFCFG_08890,NFOGGK_10425,DILMCD_27140,CJMOAC_27215,GGGPIC_20600,KLDNLM_11005,KAGCPN_10205,NDMAAC_10200,CELEIN_09515,FNPKGJ_23190,OFJEOJ_20685,OGPOLJ_22965,MOKLEP_03195
nuoH,nuoH,NADH-quinone oxidoreductase subunit NuoH,AEKEPN_20915,HMDFDK_25175,DGIGOC_07260,OELDID_24270,NDFCFG_10390,NFOGGK_11815,DILMCD_14905,CJMOAC_11995,GGGPIC_17155,KLDNLM_19580,KAGCPN_18630,NDMAAC_18625,CELEIN_18205,FNPKGJ_18075,OFJEOJ_11755,OGPOLJ_19035,MOKLEP_03340
minD,minD,septum site-determining protein MinD,AEKEPN_08815,HMDFDK_22640,DGIGOC_09160,OELDID_22370,NDFCFG_20720,NFOGGK_09915,DILMCD_26620,CJMOAC_09550,GGGPIC_19505,KLDNLM_10485,KAGCPN_21690,NDMAAC_21695,CELEIN_09010,FNPKGJ_21960,OFJEOJ_08945,OGPOLJ_21830,MOKLEP_05450
group_14797,,hypothetical protein;Phosphatase;Phosphonoacetaldehyde hydrolase,AEKEPN_09880,HMDFDK_24765,DGIGOC_27775,OELDID_03755,NDFCFG_09405,NFOGGK_19960,DILMCD_13375,CJMOAC_27685,GGGPIC_08725,KLDNLM_12235,KAGCPN_10630,NDMAAC_10625,CELEIN_19810,FNPKGJ_08245,OFJEOJ_20260,OGPOLJ_07915,16_refound_69161
arcB,arcB,ornithine carbamoyltransferase,AEKEPN_25035,HMDFDK_21700,DGIGOC_25020,OELDID_06510,NDFCFG_06530,NFOGGK_22705,DILMCD_10565,CJMOAC_08180,GGGPIC_22025,KLDNLM_23170,KAGCPN_07420,NDMAAC_07415,CELEIN_22555,FNPKGJ_24695,OFJEOJ_07660,OGPOLJ_24435,MOKLEP_02755
lpxK,lpxK,tetraacyldisaccharide 4'-kinase,AEKEPN_23930,HMDFDK_07360,DGIGOC_26180,OELDID_05350,NDFCFG_23035,NFOGGK_21555,DILMCD_11810,CJMOAC_26640,GGGPIC_16880,KLDNLM_21970,KAGCPN_21010,NDMAAC_21020,CELEIN_21405,FNPKGJ_17810,OFJEOJ_21495,OGPOLJ_18770,MOKLEP_05160
fbp,fbp,class 1 fructose-bisphosphatase,AEKEPN_01650,HMDFDK_13820,DGIGOC_16135,OELDID_15395,NDFCFG_28105,NFOGGK_02940,DILMCD_01745,CJMOAC_22390,GGGPIC_02665,KLDNLM_03435,KAGCPN_02945,NDMAAC_02940,CELEIN_01770,FNPKGJ_02065,OFJEOJ_28330,OGPOLJ_01825,MOKLEP_09065
aroG1,aroG1;,3-deoxy-7-phosphoheptulonate synthase,AEKEPN_23150,HMDFDK_23250,DGIGOC_26965,OELDID_04565,NDFCFG_22275,NFOGGK_20770,DILMCD_12575,CJMOAC_10110,GGGPIC_09210,KLDNLM_21160,KAGCPN_09585,NDMAAC_09580,CELEIN_20625,FNPKGJ_09220,OFJEOJ_09500,OGPOLJ_08570,MOKLEP_03560
nagZ,nagZ,beta-N-acetylhexosaminidase,AEKEPN_09790,HMDFDK_24670,DGIGOC_27675,OELDID_03855,NDFCFG_09310,NFOGGK_20060,DILMCD_13275,CJMOAC_27595,GGGPIC_08645,KLDNLM_11325,KAGCPN_10535,NDMAAC_10530,CELEIN_19910,FNPKGJ_08160,OFJEOJ_20350,OGPOLJ_07830,MOKLEP_18380
yciB~~~ispZ,yciB;ispZ;,septation protein A;septation protein IspZ,AEKEPN_07750,HMDFDK_08200,DGIGOC_10280,OELDID_21250,NDFCFG_21720,NFOGGK_08795,DILMCD_28700,CJMOAC_29295,GGGPIC_21975,KLDNLM_09335,KAGCPN_22615,NDMAAC_22620,CELEIN_07870,FNPKGJ_24640,OFJEOJ_22540,OGPOLJ_24380,MOKLEP_17155
group_14789,,Translation initiation factor 2;translation initiation factor 2,AEKEPN_07740,1_refound_8005_stop,DGIGOC_10290,OELDID_21240,NDFCFG_21730,NFOGGK_08785,DILMCD_28690,CJMOAC_29285,8_refound_36900_stop,KLDNLM_09325,KAGCPN_22625,NDMAAC_22630,CELEIN_07860,FNPKGJ_24650,OFJEOJ_22550,OGPOLJ_24390,16_refound_69157_stop
dusB,dusB,tRNA dihydrouridine synthase DusB,AEKEPN_03115,HMDFDK_12515,DGIGOC_14770,OELDID_16760,NDFCFG_26815,NFOGGK_04305,DILMCD_00400,CJMOAC_23785,GGGPIC_03955,KLDNLM_04835,KAGCPN_04435,NDMAAC_04430,CELEIN_03175,FNPKGJ_03365,OFJEOJ_27025,OGPOLJ_03125,MOKLEP_06890
group_14786,,RING-type E3 ubiquitin transferase,0_refound_2414_stop,1_refound_6527_stop,2_refound_10784,3_refound_14861,4_refound_18891_stop,5_refound_23138,6_refound_27300,7_refound_31271_stop,8_refound_35396,9_refound_39588_stop,10_refound_43739,11_refound_47974,12_refound_52263,FNPKGJ_12865,14_refound_60686_stop,15_refound_64828_stop,16_refound_68111_stop
group_14778,,sigma-54-dependent Fis family transcriptional regulator,AEKEPN_07935,HMDFDK_08025,DGIGOC_10015,OELDID_21515,NDFCFG_21530,NFOGGK_09060,DILMCD_28980,CJMOAC_29505,GGGPIC_19845,KLDNLM_09595,KAGCPN_08940,NDMAAC_08935,CELEIN_08140,FNPKGJ_22315,OFJEOJ_22250,OGPOLJ_22185,MOKLEP_04695
group_14777,tatA,twin-arginine translocase TatA/TatE family subunit,AEKEPN_01835,HMDFDK_13690,DGIGOC_15995,OELDID_15535,NDFCFG_27965,NFOGGK_03080,DILMCD_01605,CJMOAC_22535,GGGPIC_02820,KLDNLM_03595,KAGCPN_03110,NDMAAC_03105,CELEIN_01915,FNPKGJ_02210,OFJEOJ_28185,OGPOLJ_01970,16_refound_69151
dsrH,dsrH,sulfurtransferase complex subunit TusB,AEKEPN_20745,HMDFDK_25345,DGIGOC_07085,OELDID_24445,NDFCFG_10570,NFOGGK_11990,DILMCD_15085,CJMOAC_12165,GGGPIC_16990,KLDNLM_19410,KAGCPN_18455,NDMAAC_18450,CELEIN_17985,FNPKGJ_17910,OFJEOJ_11925,OGPOLJ_18870,MOKLEP_18255
pyrB,pyrB,aspartate carbamoyltransferase catalytic subunit,AEKEPN_29625,HMDFDK_17190,DGIGOC_20060,OELDID_11470,NDFCFG_02270,NFOGGK_27665,DILMCD_05635,CJMOAC_02770,GGGPIC_26445,KLDNLM_28070,KAGCPN_27900,NDMAAC_27900,CELEIN_27700,FNPKGJ_29160,OFJEOJ_01875,OGPOLJ_28910,MOKLEP_11975
group_14766,folK,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,AEKEPN_28680,HMDFDK_18000,DGIGOC_20925,OELDID_10605,NDFCFG_03110,NFOGGK_26800,DILMCD_06480,CJMOAC_03695,GGGPIC_25540,KLDNLM_27200,KAGCPN_27005,NDMAAC_27005,CELEIN_26835,FNPKGJ_28295,OFJEOJ_03135,OGPOLJ_28055,MOKLEP_12890
group_14763,,SAM-dependent methyltransferase,AEKEPN_00955,HMDFDK_14375,DGIGOC_16855,OELDID_14675,NDFCFG_28750,NFOGGK_02220,DILMCD_02480,CJMOAC_21540,GGGPIC_02120,KLDNLM_02790,KAGCPN_02340,NDMAAC_02340,CELEIN_01100,FNPKGJ_01215,OFJEOJ_28980,OGPOLJ_01205,MOKLEP_12190
group_14761,,methyltransferase,AEKEPN_06770,HMDFDK_09370,DGIGOC_11145,OELDID_20385,NDFCFG_07365,NFOGGK_07930,DILMCD_25125,CJMOAC_17740,GGGPIC_07910,KLDNLM_08155,KAGCPN_07970,NDMAAC_07965,CELEIN_06855,FNPKGJ_07410,OFJEOJ_23545,OGPOLJ_07045,16_refound_69144_stop
group_14757,,Transposase,0_refound_2372_stop,1_refound_6485_stop,2_refound_10735_stop,3_refound_14812,4_refound_18848_stop,5_refound_23089,6_refound_27238_stop,7_refound_31223_stop,8_refound_35342_stop,9_refound_39548_stop,10_refound_43686_stop,11_refound_47921_stop,12_refound_52212_stop,FNPKGJ_06845,14_refound_60639_stop,15_refound_64808_stop,16_refound_68090
msrP,msrP,protein-methionine-sulfoxide reductase catalytic subunit MsrP,AEKEPN_26845,HMDFDK_19705,DGIGOC_22790,OELDID_08740,NDFCFG_04895,NFOGGK_24935,DILMCD_08375,CJMOAC_05680,GGGPIC_23635,KLDNLM_25325,KAGCPN_24980,NDMAAC_24990,CELEIN_24895,FNPKGJ_26405,OFJEOJ_05055,OGPOLJ_26110,16_refound_66955_stop
ilvC,ilvC,ketol-acid reductoisomerase,AEKEPN_26855,HMDFDK_19695,DGIGOC_22780,OELDID_08750,NDFCFG_04885,NFOGGK_24945,DILMCD_08365,CJMOAC_05670,GGGPIC_23645,KLDNLM_25335,KAGCPN_24990,NDMAAC_25000,CELEIN_24905,FNPKGJ_26415,OFJEOJ_05045,OGPOLJ_26120,MOKLEP_06780
apaH,apaH,symmetrical bis(5'-nucleosyl)-tetraphosphatase,AEKEPN_28650,HMDFDK_18030,DGIGOC_20955,OELDID_10575,NDFCFG_03140,NFOGGK_26770,DILMCD_06510,CJMOAC_03725,GGGPIC_25510,KLDNLM_27170,KAGCPN_26975,NDMAAC_26975,CELEIN_26805,FNPKGJ_28265,OFJEOJ_03165,OGPOLJ_28025,MOKLEP_12920
group_14749,,Phenylalanine--tRNA ligase alpha subunit,AEKEPN_10520,HMDFDK_05360,DGIGOC_28425,OELDID_03105,NDFCFG_19405,NFOGGK_19310,DILMCD_28015,CJMOAC_28770,GGGPIC_18480,KLDNLM_11450,KAGCPN_19065,NDMAAC_19075,CELEIN_10530,FNPKGJ_20780,OFJEOJ_19575,OGPOLJ_20675,MOKLEP_03080
group_14743,,DNA recombination protein RmuC,AEKEPN_08635,HMDFDK_22465,DGIGOC_09365,OELDID_22165,NDFCFG_20880,NFOGGK_09710,DILMCD_26425,CJMOAC_09380,GGGPIC_20005,KLDNLM_10190,KAGCPN_21890,NDMAAC_21895,CELEIN_08820,FNPKGJ_22470,OFJEOJ_08770,OGPOLJ_22340,MOKLEP_05905
group_14740,,peroxiredoxin,AEKEPN_24235,HMDFDK_22250,DGIGOC_25890,OELDID_05640,NDFCFG_23305,NFOGGK_21835,DILMCD_11515,CJMOAC_09170,GGGPIC_16935,KLDNLM_22365,KAGCPN_22135,NDMAAC_22140,CELEIN_21690,FNPKGJ_17855,OFJEOJ_08565,OGPOLJ_18815,16_refound_69135_stop
phrB,phrB,deoxyribodipyrimidine photo-lyase,AEKEPN_26580,HMDFDK_19915,DGIGOC_23100,OELDID_08430,NDFCFG_05130,NFOGGK_24625,DILMCD_08695,CJMOAC_06215,GGGPIC_04675,KLDNLM_25075,KAGCPN_24615,NDMAAC_24625,CELEIN_24610,FNPKGJ_04140,OFJEOJ_05595,OGPOLJ_03820,MOKLEP_00695
iscX,iscX,Fe-S cluster assembly protein IscX,AEKEPN_05165,HMDFDK_20745,DGIGOC_23845,OELDID_07685,NDFCFG_24980,NFOGGK_23885,DILMCD_09395,CJMOAC_07040,GGGPIC_22995,KLDNLM_06835,KAGCPN_06050,NDMAAC_06040,CELEIN_23955,FNPKGJ_25555,OFJEOJ_06510,OGPOLJ_25295,MOKLEP_16605
group_14730,fliG,flagellar motor switch protein FliG,AEKEPN_07950,HMDFDK_08010,DGIGOC_10000,OELDID_21530,NDFCFG_21515,NFOGGK_09075,DILMCD_28995,CJMOAC_29520,GGGPIC_19830,KLDNLM_09610,KAGCPN_08955,NDMAAC_08950,CELEIN_08155,FNPKGJ_22300,OFJEOJ_22235,OGPOLJ_22170,MOKLEP_04930
group_14729,,GGDEF domain-containing protein,0_refound_3069_stop,1_refound_7157_stop,2_refound_11457_stop,3_refound_15532_stop,4_refound_19519_stop,5_refound_23804_stop,6_refound_27973_stop,7_refound_31969_stop,8_refound_36046_stop,9_refound_40221_stop,10_refound_44382,11_refound_48622,12_refound_52951_stop,13_refound_57046_stop,14_refound_61155_stop,15_refound_65367_stop,MOKLEP_15280
group_14721,,Transmembrane protein,AEKEPN_09735,HMDFDK_24620,DGIGOC_27625,OELDID_03905,NDFCFG_09260,NFOGGK_20110,DILMCD_13225,CJMOAC_27525,GGGPIC_08595,KLDNLM_11275,KAGCPN_10485,NDMAAC_10480,CELEIN_19960,FNPKGJ_08110,OFJEOJ_20410,OGPOLJ_07780,16_refound_69128_stop
group_14718,,ISPpu10 transposase,0_refound_2319,1_refound_6437,2_refound_10682,3_refound_14757,4_refound_18802,5_refound_23034,6_refound_27179,7_refound_31176,8_refound_35289_stop,9_refound_39493_stop,10_refound_43634_stop,11_refound_47867_stop,CELEIN_22580,13_refound_56455,14_refound_60589,15_refound_64777_stop,16_refound_68064
group_14713,,hypothetical protein;AMP-binding protein,AEKEPN_24115,HMDFDK_07540,DGIGOC_26005,OELDID_05525,NDFCFG_23200,NFOGGK_21720,DILMCD_11625,CJMOAC_30045,GGGPIC_09775,KLDNLM_22255,10_refound_45181_stop,11_refound_49421_stop,CELEIN_21580,FNPKGJ_09905,OFJEOJ_21685,OGPOLJ_09260,16_refound_69126_stop
group_14711,,LysR family transcriptional regulator,0_refound_3756,HMDFDK_11100,DGIGOC_13280,OELDID_18250,4_refound_20335_stop,NFOGGK_05795,DILMCD_23045,CJMOAC_19870,GGGPIC_19165,9_refound_40984_stop,10_refound_45179_stop,11_refound_49419_stop,CELEIN_04710,FNPKGJ_21645,OFJEOJ_25550,OGPOLJ_21515,16_refound_69123_stop
group_14709,eutC,ethanolamine ammonia-lyase subunit EutC,AEKEPN_27905,HMDFDK_18745,DGIGOC_21750,OELDID_09780,NDFCFG_03875,NFOGGK_25975,DILMCD_07275,CJMOAC_04545,GGGPIC_24755,KLDNLM_26340,KAGCPN_26015,NDMAAC_26025,CELEIN_26030,FNPKGJ_27535,OFJEOJ_03940,OGPOLJ_27290,MOKLEP_17595
rsfS,rsfS,ribosome silencing factor,AEKEPN_27800,HMDFDK_18840,DGIGOC_21840,OELDID_09690,NDFCFG_03975,NFOGGK_25885,DILMCD_07395,CJMOAC_04645,GGGPIC_24655,KLDNLM_26250,KAGCPN_25925,NDMAAC_25935,CELEIN_25915,FNPKGJ_27440,OFJEOJ_04030,OGPOLJ_27195,MOKLEP_08155
group_14696,,Ribbon-helix-helix domain-containing protein;aryl-sulfate sulfotransferase,AEKEPN_25170,HMDFDK_21565,DGIGOC_24885,OELDID_06645,NDFCFG_06395,NFOGGK_22840,DILMCD_10430,7_refound_32706,GGGPIC_22275,KLDNLM_23305,KAGCPN_23075,NDMAAC_23080,CELEIN_22700,FNPKGJ_24835,14_refound_61899_stop,OGPOLJ_24575,16_refound_69119_stop
fusA,fusA,elongation factor G,AEKEPN_28335,HMDFDK_18345,DGIGOC_21275,OELDID_10255,NDFCFG_03455,NFOGGK_26450,DILMCD_06825,CJMOAC_04070,GGGPIC_25230,KLDNLM_26850,KAGCPN_26660,NDMAAC_26660,CELEIN_26485,FNPKGJ_27960,14_refound_61898_stop,OGPOLJ_27720,MOKLEP_13225
group_14695,,ABC transporter ATP-binding protein;hypothetical protein,AEKEPN_09770,HMDFDK_24650,DGIGOC_27655,OELDID_03875,NDFCFG_09290,NFOGGK_20080,DILMCD_13255,CJMOAC_27575,GGGPIC_08625,KLDNLM_11305,KAGCPN_10515,NDMAAC_10510,CELEIN_19930,FNPKGJ_08140,OFJEOJ_20370,OGPOLJ_07810,MOKLEP_18355
group_14693,lipA,lipoyl synthase,AEKEPN_27755,HMDFDK_18885,DGIGOC_21885,OELDID_09645,NDFCFG_04020,NFOGGK_25840,DILMCD_07440,CJMOAC_04690,GGGPIC_24610,KLDNLM_26205,KAGCPN_25880,NDMAAC_25890,CELEIN_25870,FNPKGJ_27395,OFJEOJ_04075,OGPOLJ_27150,16_refound_66976_stop
group_14691,,iron ABC transporter substrate-binding protein,AEKEPN_02660,HMDFDK_12945,DGIGOC_15225,OELDID_16305,NDFCFG_27250,NFOGGK_03850,DILMCD_00825,CJMOAC_23300,GGGPIC_03525,KLDNLM_04365,10_refound_41349,11_refound_45576,CELEIN_02710,FNPKGJ_02940,OFJEOJ_27470,OGPOLJ_02700,16_refound_66470_stop
group_14690,,fused response regulator/phosphatase,AEKEPN_09890,HMDFDK_24775,DGIGOC_27790,OELDID_03740,NDFCFG_09420,NFOGGK_19945,DILMCD_13390,CJMOAC_27700,GGGPIC_08735,KLDNLM_12250,KAGCPN_10645,NDMAAC_10640,CELEIN_19795,FNPKGJ_08260,OFJEOJ_20245,OGPOLJ_07930,MOKLEP_16745
ftsX,ftsX,permease-like cell division protein FtsX,AEKEPN_29730,HMDFDK_17085,DGIGOC_19955,OELDID_11575,NDFCFG_02170,NFOGGK_27770,DILMCD_05530,CJMOAC_02660,GGGPIC_26545,KLDNLM_28175,KAGCPN_28005,NDMAAC_28005,CELEIN_27810,FNPKGJ_29260,OFJEOJ_01765,OGPOLJ_29010,MOKLEP_11855
group_14689,,hypothetical protein;Fe-S oxidoreductase;zinc/iron-chelating domain-containing protein,AEKEPN_30760,HMDFDK_16215,DGIGOC_19020,OELDID_12510,NDFCFG_01335,NFOGGK_00055,DILMCD_04595,CJMOAC_01705,GGGPIC_00050,KLDNLM_00050,KAGCPN_00050,NDMAAC_00050,CELEIN_28760,FNPKGJ_30210,OFJEOJ_00800,OGPOLJ_29965,16_refound_69114_stop
group_14688,,sterol desaturase family protein,0_refound_3752_stop,1_refound_7967,DGIGOC_15335,OELDID_16195,4_refound_20331,NFOGGK_03740,DILMCD_00950,7_refound_32704,8_refound_36869,KLDNLM_04260,10_refound_45175,11_refound_49415,CELEIN_02585,13_refound_57782,14_refound_61896,15_refound_66103,16_refound_69113
group_14685,,N-acetylmuramate/N-acetylglucosamine kinase,AEKEPN_28620,HMDFDK_18060,DGIGOC_20985,OELDID_10545,NDFCFG_03170,NFOGGK_26740,DILMCD_06540,CJMOAC_03755,GGGPIC_25480,KLDNLM_27140,KAGCPN_26945,NDMAAC_26945,CELEIN_26775,FNPKGJ_28235,OFJEOJ_03195,OGPOLJ_27995,MOKLEP_12950
tsaD,tsaD,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD,AEKEPN_28695,HMDFDK_17985,DGIGOC_20910,OELDID_10620,NDFCFG_03095,NFOGGK_26815,DILMCD_06465,CJMOAC_03680,GGGPIC_25555,KLDNLM_27215,KAGCPN_27020,NDMAAC_27020,CELEIN_26850,FNPKGJ_28310,OFJEOJ_03120,OGPOLJ_28070,MOKLEP_12875
group_14682,,thioesterase,AEKEPN_01150,HMDFDK_14205,DGIGOC_16645,OELDID_14885,NDFCFG_28570,NFOGGK_02430,DILMCD_02235,CJMOAC_21815,GGGPIC_02305,KLDNLM_02995,KAGCPN_02525,NDMAAC_02520,CELEIN_01325,FNPKGJ_01410,OFJEOJ_28755,OGPOLJ_01400,MOKLEP_09115
rpmD,rpmD,50S ribosomal protein L30,AEKEPN_28230,HMDFDK_18450,DGIGOC_21380,OELDID_10150,NDFCFG_03560,NFOGGK_26345,DILMCD_06930,CJMOAC_04175,GGGPIC_25125,KLDNLM_26745,KAGCPN_26555,NDMAAC_26555,CELEIN_26380,FNPKGJ_27855,OFJEOJ_03505,OGPOLJ_27615,MOKLEP_13330
tolB,tolB,Tol-Pal system beta propeller repeat protein TolB,AEKEPN_25115,HMDFDK_21620,DGIGOC_24940,OELDID_06590,NDFCFG_06450,NFOGGK_22785,DILMCD_10485,CJMOAC_08045,GGGPIC_22220,KLDNLM_23250,KAGCPN_23020,NDMAAC_23025,CELEIN_22645,FNPKGJ_24780,OFJEOJ_07480,OGPOLJ_24520,MOKLEP_06020
ruvX,ruvX,Holliday junction resolvase RuvX,AEKEPN_29615,HMDFDK_17200,DGIGOC_20070,OELDID_11460,NDFCFG_02280,NFOGGK_27655,DILMCD_05645,CJMOAC_02780,GGGPIC_26435,KLDNLM_28060,KAGCPN_27890,NDMAAC_27890,CELEIN_27690,FNPKGJ_29150,OFJEOJ_01885,OGPOLJ_28900,MOKLEP_11985
hemH,hemH,ferrochelatase,AEKEPN_26555,HMDFDK_19940,DGIGOC_23130,OELDID_08400,NDFCFG_05155,NFOGGK_24595,DILMCD_08725,CJMOAC_06245,GGGPIC_04705,KLDNLM_25050,KAGCPN_24590,NDMAAC_24600,CELEIN_24580,FNPKGJ_04170,OFJEOJ_05620,OGPOLJ_03850,MOKLEP_00725
group_14663,,RnfH family protein,AEKEPN_03815,HMDFDK_11785,DGIGOC_14050,OELDID_17480,NDFCFG_26225,NFOGGK_05025,DILMCD_22335,CJMOAC_20555,GGGPIC_23940,KLDNLM_05505,KAGCPN_05120,NDMAAC_05115,CELEIN_03975,FNPKGJ_26720,OFJEOJ_26305,OGPOLJ_26425,MOKLEP_07155
group_14659,,acyltransferase,0_refound_2804_stop,1_refound_6904_stop,2_refound_11197_stop,3_refound_15275_stop,4_refound_19253_stop,5_refound_23548_stop,6_refound_27721_stop,7_refound_31711_stop,8_refound_35794,9_refound_39956,10_refound_44124_stop,11_refound_48365_stop,12_refound_52690_stop,13_refound_56795_stop,14_refound_60885_stop,15_refound_65113_stop,MOKLEP_03130
trmD,trmD,tRNA (guanosine(37)-N1)-methyltransferase TrmD,AEKEPN_25835,HMDFDK_10500,DGIGOC_12665,OELDID_18865,NDFCFG_05765,NFOGGK_06410,DILMCD_23695,CJMOAC_19165,GGGPIC_22730,KLDNLM_06775,KAGCPN_06260,NDMAAC_06250,CELEIN_05410,FNPKGJ_25290,OFJEOJ_24925,OGPOLJ_25035,MOKLEP_15375
